,name,geometry,boundary
0,Sector 26,"POLYGON ((77.0937546 28.478914, 77.0943153 28.4797448, 77.094632 28.4814775, 77.094807 28.4827111, 77.0951416 28.4850694, 77.0973411 28.483764, 77.0984918 28.4829639, 77.0991756 28.4825278, 77.0995605 28.4822317, 77.1003934 28.4818535, 77.1046912 28.4819958, 77.1074592 28.4823919, 77.1080804 28.4823382, 77.109443 28.4819138, 77.1099687 28.4813763, 77.1098185 28.4804144, 77.1097005 28.4797825, 77.1096468 28.4789998, 77.1105803 28.4748691, 77.1106768 28.4743976, 77.1105695 28.4738694, 77.1102691 28.473247, 77.1096576 28.4722284, 77.1091437 28.4714239, 77.1090138 28.4704082, 77.109046 28.4692859, 77.1082521 28.4685031, 77.1079869 28.4679478, 77.1067522 28.4689558, 77.1042807 28.4707979, 77.101991 28.4734047, 77.1015129 28.473832, 77.0988451 28.4757718, 77.0985271 28.4760027, 77.0966183 28.4773679, 77.0939123 28.4788697, 77.0937546 28.478914))",administrative
1,Sector 14,"POLYGON ((77.033792 28.4638508, 77.0378622 28.4683624, 77.0429769 28.47403, 77.0463887 28.4778778, 77.0490452 28.4809201, 77.0494004 28.4814748, 77.0499937 28.4800444, 77.0534223 28.4758626, 77.0554358 28.4734241, 77.0535205 28.4726016, 77.0524742 28.4722068, 77.0512071 28.4717616, 77.050005 28.471356, 77.0492354 28.4710512, 77.0485843 28.470762, 77.0485234 28.4707445, 77.0458308 28.4697483, 77.0439461 28.4684192, 77.0413474 28.467164, 77.037865 28.465271, 77.0369056 28.4647495, 77.033792 28.4638508))",place
2,Sector 78,"POLYGON ((76.961396 28.37906, 76.970258 28.3835879, 76.970547 28.3838833, 76.9710829 28.3835064, 76.9830167 28.3718906, 76.977904 28.3651204, 76.9751158 28.3634258, 76.9664843 28.3621222, 76.961396 28.37906))",administrative
3,Sector 80,"POLYGON ((76.9568038 28.3765333, 76.961396 28.37906, 76.9664843 28.3621222, 76.9655592 28.3617996, 76.9641586 28.3612242, 76.9616889 28.3624364, 76.9568038 28.3765333))",administrative
4,Sector 45,"POLYGON ((77.0581972 28.4438734, 77.0609578 28.4467663, 77.0640544 28.4500074, 77.0665475 28.4521716, 77.0694092 28.4500905, 77.069658 28.4499095, 77.0718253 28.44891, 77.0724405 28.4486263, 77.0740557 28.4478814, 77.0759032 28.445991, 77.0750649 28.4451105, 77.0679422 28.4375744, 77.0673151 28.4368753, 77.063213 28.4401096, 77.0628643 28.440383, 77.0625573 28.4406232, 77.0623178 28.4408105, 77.0581972 28.4438734))",administrative
5,Sector 28,"POLYGON ((77.0715635 28.478064, 77.0783113 28.4789987, 77.0797363 28.4791961, 77.0817193 28.4794708, 77.0874271 28.4803435, 77.0891544 28.4802629, 77.0934352 28.48114, 77.094632 28.4814775, 77.0943153 28.4797448, 77.0937546 28.478914, 77.0938061 28.4779298, 77.0939151 28.4719411, 77.0939645 28.4713108, 77.0940064 28.4703349, 77.0940191 28.4699817, 77.0943485 28.4679685, 77.0917781 28.4679831, 77.0881372 28.4680038, 77.086146 28.4680042, 77.0796633 28.4679529, 77.0741716 28.4679182, 77.07311 28.4679062, 77.0731216 28.4695211, 77.0727393 28.4716173, 77.0725126 28.4728602, 77.072404 28.4734557, 77.0723018 28.4740158, 77.0715635 28.478064))",administrative
6,Sector 17,"POLYGON ((77.0534223 28.4758626, 77.0543391 28.4765275, 77.0547044 28.4772834, 77.0588672 28.4817907, 77.0597041 28.481272, 77.0614416 28.4806769, 77.0629007 28.4803092, 77.0642418 28.4795453, 77.0635986 28.4784523, 77.0637596 28.4772834, 77.0638456 28.4767412, 77.0649386 28.4768981, 77.068271 28.477646, 77.0672907 28.4791774, 77.0655958 28.4793458, 77.0632709 28.4825281, 77.0609084 28.483721, 77.0620074 28.4850655, 77.07042 28.47911, 77.0684495 28.4774587, 77.0614642 28.471959, 77.0590178 28.4700328, 77.0574099 28.4687352, 77.0571194 28.4692788, 77.0570138 28.4703021, 77.0567859 28.4712628, 77.0562147 28.4724471, 77.0554358 28.4734241, 77.0534223 28.4758626))",administrative
7,Sector 25,"POLYGON ((77.0684495 28.4774587, 77.07042 28.47911, 77.0711389 28.4797906, 77.0862237 28.4950144, 77.0865356 28.4943884, 77.0876846 28.4927202, 77.0879743 28.4918244, 77.0881996 28.4910889, 77.0890042 28.4897688, 77.0898571 28.4892103, 77.0903827 28.4888731, 77.0909397 28.4885405, 77.0918386 28.488012, 77.0925233 28.4876094, 77.0933972 28.4872698, 77.0943652 28.4866963, 77.0947991 28.4863301, 77.09517 28.4856695, 77.0951416 28.4850694, 77.094807 28.4827111, 77.094632 28.4814775, 77.0934352 28.48114, 77.0891544 28.4802629, 77.0874271 28.4803435, 77.0817193 28.4794708, 77.0797363 28.4791961, 77.0783113 28.4789987, 77.0715635 28.478064, 77.0684495 28.4774587))",administrative
8,Sector 43,"POLYGON ((77.0741115 28.4588488, 77.0774697 28.4595332, 77.0797831 28.4600504, 77.0809102 28.4603077, 77.081253 28.4603871, 77.0838476 28.4609883, 77.0843453 28.4611143, 77.0895688 28.4622831, 77.0901552 28.4624021, 77.0903326 28.4624286, 77.095257 28.4631626, 77.0957275 28.4615336, 77.0964758 28.4588512, 77.0973362 28.4558624, 77.0974583 28.4554744, 77.0977387 28.4544433, 77.0989669 28.4507692, 77.0994329 28.4494778, 77.0988915 28.449362, 77.0986698 28.449367, 77.0984553 28.4493953, 77.0971195 28.4498764, 77.0967279 28.4499943, 77.0953922 28.4502301, 77.0951239 28.4502537, 77.0921306 28.449999, 77.0880979 28.4498363, 77.0877368 28.4498441, 77.0873294 28.4498528, 77.0868319 28.4498693, 77.0865637 28.4498316, 77.0858019 28.4495344, 77.0830874 28.4484719, 77.081784 28.448044, 77.0794759 28.4473152, 77.0785694 28.4482161, 77.0783132 28.4485864, 77.0742953 28.4543264, 77.0741115 28.4588488))",administrative
9,Sector 24,"POLYGON ((77.0909397 28.4885405, 77.0911929 28.4896466, 77.0954718 28.4962687, 77.0971152 28.4988118, 77.0967118 28.4996859, 77.0930223 28.5020237, 77.0930397 28.502044, 77.0951239 28.5051167, 77.095482 28.5069595, 77.0957528 28.5070803, 77.0976518 28.5048552, 77.1000336 28.5038653, 77.1023081 28.5031016, 77.1037667 28.5024887, 77.1053975 28.5013384, 77.1101397 28.4993961, 77.1124785 28.4984532, 77.119507 28.495139, 77.1176759 28.4869846, 77.1167211 28.4850054, 77.1150614 28.4815648, 77.1143393 28.4817321, 77.109443 28.4819138, 77.1080804 28.4823382, 77.1074592 28.4823919, 77.1046912 28.4819958, 77.1003934 28.4818535, 77.0995605 28.4822317, 77.0991756 28.4825278, 77.0984918 28.4829639, 77.0973411 28.483764, 77.0951416 28.4850694, 77.09517 28.4856695, 77.0947991 28.4863301, 77.0943652 28.4866963, 77.0933972 28.4872698, 77.0925233 28.4876094, 77.0918386 28.488012, 77.0909397 28.4885405))",administrative
10,Sector 25A,"POLYGON ((77.0862237 28.4950144, 77.0864238 28.4952403, 77.0880312 28.4969849, 77.0893749 28.4984433, 77.0916743 28.5009315, 77.0919011 28.5010754, 77.0930223 28.5020237, 77.0967118 28.4996859, 77.0971152 28.4988118, 77.0954718 28.4962687, 77.0911929 28.4896466, 77.0909397 28.4885405, 77.0903827 28.4888731, 77.0898571 28.4892103, 77.0890042 28.4897688, 77.0881996 28.4910889, 77.0879743 28.4918244, 77.0876846 28.4927202, 77.0865356 28.4943884, 77.0862237 28.4950144))",administrative
11,Sector 29,"POLYGON ((77.0574099 28.4687352, 77.0590178 28.4700328, 77.0614642 28.471959, 77.0684495 28.4774587, 77.0715635 28.478064, 77.0723018 28.4740158, 77.072404 28.4734557, 77.0725126 28.4728602, 77.0727393 28.4716173, 77.0731216 28.4695211, 77.07311 28.4679062, 77.073254 28.4670235, 77.0739458 28.461676, 77.0740668 28.4606563, 77.0740865 28.4596576, 77.0741115 28.4588488, 77.0716604 28.4580915, 77.0684497 28.4605473, 77.0639896 28.4639585, 77.0605008 28.4666382, 77.0591825 28.4676332, 77.0584506 28.4679719, 77.0579091 28.4682387, 77.0574099 28.4687352))",administrative
12,Sector 56,"POLYGON ((77.0910767 28.4173299, 77.0910847 28.4178708, 77.0911594 28.4229007, 77.091248 28.4298979, 77.0955925 28.4312887, 77.0962612 28.4314754, 77.1053206 28.4313367, 77.1051935 28.4192579, 77.1011007 28.4182496, 77.097532 28.4172746, 77.0948449 28.4173265, 77.0937117 28.4173275, 77.0910767 28.4173299))",administrative
13,Sector 57,"POLYGON ((77.0648143 28.4205318, 77.0726514 28.427971, 77.0754687 28.4306451, 77.0853328 28.4296677, 77.091248 28.4298979, 77.0911594 28.4229007, 77.0910847 28.4178708, 77.0910767 28.4173299, 77.0896436 28.4169965, 77.0879396 28.416509, 77.0858068 28.4158987, 77.0815928 28.414693, 77.0804928 28.4143783, 77.0795084 28.4140966, 77.0747173 28.4123036, 77.0746581 28.4122793, 77.0685031 28.4175946, 77.0658283 28.4197244, 77.0648143 28.4205318))",administrative
14,Sector 55,"POLYGON ((77.1051935 28.4192579, 77.1053206 28.4313367, 77.1184055 28.4314188, 77.1171395 28.4291922, 77.1155389 28.428181, 77.1100156 28.4226818, 77.1097012 28.4222543, 77.1094987 28.4219924, 77.1093901 28.4218505, 77.1092921 28.4218084, 77.1088321 28.4215879, 77.1080744 28.4212281, 77.1051935 28.4192579))",administrative
15,Sector 42,"POLYGON ((77.095257 28.4631626, 77.0973298 28.4633985, 77.1005321 28.4637629, 77.1056218 28.4641492, 77.1061518 28.4641894, 77.1064017 28.4642701, 77.1064859 28.4644418, 77.1067654 28.4658133, 77.1069143 28.466158, 77.1075184 28.4671508, 77.1076447 28.4673583, 77.1079869 28.4679478, 77.108535 28.4671895, 77.1094849 28.4666436, 77.1096508 28.4665482, 77.1111314 28.4663029, 77.1139852 28.4665293, 77.1144788 28.4662841, 77.1216027 28.4556446, 77.1217636 28.4533548, 77.1220533 28.4492302, 77.1192638 28.4493245, 77.1172468 28.4492302, 77.114323 28.4496535, 77.1138616 28.4497203, 77.1134349 28.4498087, 77.1106121 28.4503933, 77.1104549 28.4503982, 77.1088097 28.4504499, 77.1065637 28.4501085, 77.1021715 28.449894, 77.0994329 28.4494778, 77.0989669 28.4507692, 77.0977387 28.4544433, 77.0974583 28.4554744, 77.0973362 28.4558624, 77.0964758 28.4588512, 77.0957275 28.4615336, 77.095257 28.4631626))",administrative
16,Sector 54,"POLYGON ((77.0994329 28.4494778, 77.1021715 28.449894, 77.1065637 28.4501085, 77.1088097 28.4504499, 77.1104549 28.4503982, 77.1106121 28.4503933, 77.1134349 28.4498087, 77.1138616 28.4497203, 77.114323 28.4496535, 77.1172468 28.4492302, 77.1192638 28.4493245, 77.1220533 28.4492302, 77.1216242 28.4373625, 77.1220533 28.4362304, 77.1184055 28.4314188, 77.1053206 28.4313367, 77.1035925 28.4372842, 77.1026688 28.4397409, 77.1026464 28.4398013, 77.1012851 28.4434208, 77.0999528 28.4478306, 77.0996273 28.448841, 77.0994329 28.4494778))",administrative
17,Sector 52A,"POLYGON ((77.0794759 28.4473152, 77.081784 28.448044, 77.0830874 28.4484719, 77.0858019 28.4495344, 77.0865637 28.4498316, 77.0868319 28.4498693, 77.0873294 28.4498528, 77.0877368 28.4498441, 77.0876834 28.4491056, 77.0887455 28.4465303, 77.0905373 28.4431813, 77.0918784 28.4414078, 77.0936057 28.4374077, 77.094346 28.4349265, 77.0955925 28.4312887, 77.091248 28.4298979, 77.0913054 28.4308836, 77.0903592 28.4359516, 77.090155 28.4371703, 77.0897013 28.4381641, 77.0892083 28.4388676, 77.0881306 28.4399987, 77.0863124 28.4414772, 77.084469 28.4427548, 77.0837952 28.443534, 77.0834464 28.4437731, 77.0812837 28.4458395, 77.0806293 28.4463884, 77.0794759 28.4473152))",administrative
18,Sector 53,"POLYGON ((77.0877368 28.4498441, 77.0880979 28.4498363, 77.0921306 28.449999, 77.0951239 28.4502537, 77.0953922 28.4502301, 77.0967279 28.4499943, 77.0971195 28.4498764, 77.0984553 28.4493953, 77.0986698 28.449367, 77.0988915 28.449362, 77.0994329 28.4494778, 77.0996273 28.448841, 77.0999528 28.4478306, 77.1012851 28.4434208, 77.1026464 28.4398013, 77.1026688 28.4397409, 77.1035925 28.4372842, 77.1053206 28.4313367, 77.0962612 28.4314754, 77.0955925 28.4312887, 77.094346 28.4349265, 77.0936057 28.4374077, 77.0918784 28.4414078, 77.0905373 28.4431813, 77.0887455 28.4465303, 77.0876834 28.4491056, 77.0877368 28.4498441))",administrative
19,Sector 115,"POLYGON ((77.0013356 28.530984, 77.0016644 28.5334918, 77.0042991 28.5378845, 77.0045632 28.5388005, 77.0054602 28.5394958, 77.0069243 28.5402159, 77.007818 28.5409048, 77.0096859 28.539869, 77.0101934 28.5402687, 77.0122093 28.5400104, 77.0128497 28.5402697, 77.0132608 28.5383874, 77.0050158 28.5289423, 77.0016511 28.5308084, 77.0013356 28.530984))",administrative
20,Sector 114,"POLYGON ((77.0050158 28.5289423, 77.0132608 28.5383874, 77.0128497 28.5402697, 77.0134571 28.5405156, 77.0140944 28.5399982, 77.0162809 28.5392112, 77.0174236 28.537688, 77.0197006 28.536218, 77.0185792 28.5348138, 77.0105771 28.5257745, 77.0096001 28.526641, 77.0084757 28.5270284, 77.0050158 28.5289423))",administrative
21,Sector 111,"POLYGON ((77.0251671 28.5206665, 77.0340512 28.5300656, 77.0345078 28.5298263, 77.034625 28.529765, 77.0356102 28.5292571, 77.0356349 28.5292442, 77.0417144 28.5260711, 77.0424046 28.5256984, 77.0326049 28.5144708, 77.0251671 28.5206665))",administrative
22,Sector 101,"POLYGON ((76.9717224 28.4678764, 76.9798971 28.4747665, 76.9808303 28.4755644, 76.9898798 28.4686072, 76.9887947 28.4679944, 76.9881219 28.4676144, 76.9792772 28.462619, 76.9717224 28.4678764))",administrative
23,Sector 102,"POLYGON ((76.9607315 28.4705733, 76.9642444 28.4765902, 76.9654443 28.4787172, 76.9665067 28.4806004, 76.9692444 28.4860356, 76.9748588 28.4809606, 76.9808303 28.4755644, 76.9798971 28.4747665, 76.9717224 28.4678764, 76.9709905 28.4684865, 76.9689955 28.4701492, 76.9687397 28.4702945, 76.9684729 28.4703766, 76.9649987 28.4703475, 76.9607315 28.4705733))",administrative
24,Sector 102A,"POLYGON ((76.9692444 28.4860356, 76.9720448 28.4914468, 76.9734664 28.490094, 76.9745038 28.4891069, 76.9777595 28.4865896, 76.9832406 28.4847617, 76.9877826 28.4817885, 76.9870632 28.4811977, 76.9808303 28.4755644, 76.9748588 28.4809606, 76.9692444 28.4860356))",administrative
25,Sector 103,"POLYGON ((76.9720448 28.4914468, 76.9762078 28.4984432, 76.979788 28.501845, 76.9854207 28.5071706, 76.9897562 28.5047863, 76.993081 28.5026631, 76.9958867 28.4995722, 76.9958932 28.49571, 76.9994099 28.4931639, 76.9877826 28.4817885, 76.9832406 28.4847617, 76.9777595 28.4865896, 76.9745038 28.4891069, 76.9734664 28.490094, 76.9720448 28.4914468))",administrative
26,Sector 104,"POLYGON ((76.9808303 28.4755644, 76.9870632 28.4811977, 76.9877826 28.4817885, 76.9994099 28.4931639, 77.0047802 28.4881926, 77.007736 28.4865452, 77.0085706 28.4858551, 76.9997428 28.4754929, 76.9972731 28.4731437, 76.9950629 28.4713895, 76.9918743 28.469506, 76.9898798 28.4686072, 76.9808303 28.4755644))",administrative
27,Sector 105,"POLYGON ((76.9994099 28.4931639, 77.0054715 28.4985554, 77.0073952 28.5005469, 77.008175 28.5013412, 77.0094096 28.5005242, 77.0165107 28.4953561, 77.0146077 28.4930791, 77.0109259 28.4886735, 77.0085706 28.4858551, 77.007736 28.4865452, 77.0047802 28.4881926, 76.9994099 28.4931639))",administrative
28,Sector 107,"POLYGON ((76.9620491 28.5115276, 76.9706359 28.5157991, 76.975992 28.512758, 76.9797011 28.510739, 76.9805237 28.5102258, 76.9854207 28.5071706, 76.979788 28.501845, 76.9762078 28.4984432, 76.9648243 28.509661, 76.9620491 28.5115276))",administrative
29,Sector 106,"POLYGON ((76.9860482 28.5076491, 76.9872633 28.5082695, 76.9910439 28.5105074, 76.9923118 28.5124632, 76.9954418 28.5144465, 76.9979303 28.5119471, 76.998892 28.5109554, 77.0036095 28.50612, 77.0049479 28.5047628, 77.008175 28.5013412, 77.0073952 28.5005469, 77.0054715 28.4985554, 76.9994099 28.4931639, 76.9958932 28.49571, 76.9958867 28.4995722, 76.993081 28.5026631, 76.9897562 28.5047863, 76.9854207 28.5071706, 76.9860482 28.5076491), (76.9954371 28.5144223, 76.9948373 28.5139829, 76.9968216 28.5119795, 76.9979086 28.5119564, 76.9954371 28.5144223))",administrative
30,Sector 109,"MULTIPOLYGON (((76.9979086 28.5119564, 76.9968216 28.5119795, 76.9948373 28.5139829, 76.9954371 28.5144223, 76.9979086 28.5119564)), ((76.9954418 28.5144465, 76.9991059 28.5178978, 76.9990202 28.5184844, 76.9999924 28.5179713, 77.0027227 28.5172931, 77.0059192 28.5158559, 77.0067265 28.515635, 77.0070407 28.515549, 77.0085304 28.5151415, 77.0100507 28.5147255, 77.010493 28.5151221, 77.0105264 28.5151521, 77.0108262 28.5154209, 77.0116413 28.5161518, 77.0125525 28.5169683, 77.0139811 28.5161177, 77.0165929 28.5145574, 77.0186166 28.5133462, 77.0165098 28.5107002, 77.0156032 28.5097268, 77.0122796 28.5063038, 77.008175 28.5013412, 77.0049479 28.5047628, 77.0036095 28.50612, 76.998892 28.5109554, 76.9979303 28.5119471, 76.9954418 28.5144465)))",administrative
31,Sector 108,"POLYGON ((76.9706359 28.5157991, 76.9760102 28.5189385, 76.9783615 28.5212528, 76.9802327 28.5198029, 76.9812139 28.5191174, 76.9832794 28.5170355, 76.983382 28.5169891, 76.9909463 28.5135677, 76.9945276 28.5176083, 76.9953859 28.5171445, 76.9959691 28.5180316, 76.9968081 28.5197112, 76.9990202 28.5184844, 76.9991059 28.5178978, 76.9954418 28.5144465, 76.9923118 28.5124632, 76.9910439 28.5105074, 76.9872633 28.5082695, 76.9860482 28.5076491, 76.9854207 28.5071706, 76.9805237 28.5102258, 76.9797011 28.510739, 76.975992 28.512758, 76.9706359 28.5157991))",administrative
32,Sector 110,"POLYGON ((77.008175 28.5013412, 77.0122796 28.5063038, 77.0156032 28.5097268, 77.0165098 28.5107002, 77.0186166 28.5133462, 77.0234394 28.5187849, 77.0248151 28.5145133, 77.025258 28.5130918, 77.0253975 28.5126548, 77.0254104 28.5126143, 77.0254531 28.5124925, 77.0254873 28.5123811, 77.0255145 28.5122734, 77.0256752 28.5117855, 77.0266538 28.5085899, 77.0269322 28.5078503, 77.0251016 28.5055276, 77.0246723 28.5050072, 77.0181865 28.4973408, 77.0165107 28.4953561, 77.0094096 28.5005242, 77.008175 28.5013412))",administrative
33,Sector 110A,"POLYGON ((77.0234394 28.5187849, 77.0251671 28.5206665, 77.0326049 28.5144708, 77.0269322 28.5078503, 77.0266538 28.5085899, 77.0256752 28.5117855, 77.0255145 28.5122734, 77.0254873 28.5123811, 77.0254531 28.5124925, 77.0254104 28.5126143, 77.0253975 28.5126548, 77.025258 28.5130918, 77.0248151 28.5145133, 77.0234394 28.5187849))",administrative
34,Sector 112,"POLYGON ((77.0105771 28.5257745, 77.0185792 28.5348138, 77.0206217 28.5286783, 77.021116 28.5271935, 77.0212491 28.5266786, 77.021411 28.5260523, 77.022514 28.5217849, 77.0234394 28.5187849, 77.0186166 28.5133462, 77.0165929 28.5145574, 77.0139811 28.5161177, 77.0125525 28.5169683, 77.012884 28.5172777, 77.0144723 28.518757, 77.0169637 28.5210774, 77.0146291 28.5243485, 77.0109551 28.5254602, 77.0105771 28.5257745))",administrative
35,Sector 113,"POLYGON ((77.0185792 28.5348138, 77.0197006 28.536218, 77.0217025 28.5349596, 77.0219253 28.5347748, 77.0232547 28.5335616, 77.0245904 28.5327132, 77.0297824 28.5317014, 77.0298669 28.5316849, 77.0321199 28.5310788, 77.0340512 28.5300656, 77.0251671 28.5206665, 77.0234394 28.5187849, 77.022514 28.5217849, 77.021411 28.5260523, 77.0212491 28.5266786, 77.021116 28.5271935, 77.0206217 28.5286783, 77.0185792 28.5348138))",administrative
